barcode,desc,acost,adate,cat_type,locname,dept
0033-0004302600013  ,DELL E2020H 19.45"" WIDESCREEN FLAT PANEL MONITOR            ,4238.88000,09/24/2024,MONITOR                                           ,COLONNADE MOHON               ,TALISAY MOHON-INFORMATION TECHNOLOGY              
0033-0004302600014  ,DELL E2020H 19.45"" WIDESCREEN FLAT PANEL MONITOR            ,4238.88000,09/24/2024,MONITOR                                           ,COLONNADE MOHON               ,TALISAY MOHON-WAREHOUSE                           
0033-0004302600015  ,DELL E2020H 19.45"" WIDESCREEN FLAT PANEL MONITOR            ,4238.88000,09/24/2024,MONITOR                                           ,COLONNADE MOHON               ,TALISAY MOHON-STOCKROOM DEPARTMENT                
0033-0004302600016  ,DELL E2020H 19.45"" WIDESCREEN FLAT PANEL MONITOR            ,4238.88000,09/24/2024,MONITOR                                           ,COLONNADE MOHON               ,TALISAY MOHON-MIS                                 
0033-0004302600017  ,DELL E2020H 19.45"" WIDESCREEN FLAT PANEL MONITOR            ,4238.88000,09/24/2024,MONITOR                                           ,COLONNADE MOHON               ,TALISAY MOHON-STOCKROOM DEPARTMENT                
0033-0004302600018  ,DELL E2020H 19.45"" WIDESCREEN FLAT PANEL MONITOR            ,4238.88000,09/24/2024,MONITOR                                           ,COLONNADE MOHON               ,TALISAY MOHON-FRESH MARKET DEPARTMENT             
0033-0004302600019  ,DELL E2020H 19.45"" WIDESCREEN FLAT PANEL MONITOR            ,4238.88000,09/24/2024,MONITOR                                           ,COLONNADE MOHON               ,TALISAY MOHON-GROCERY CHECK-OUT COUNTER           
0033-0004302600020  ,DELL E2020H 19.45"" WIDESCREEN FLAT PANEL MONITOR            ,4238.88000,09/24/2024,MONITOR                                           ,COLONNADE MOHON               ,TALISAY MOHON-GROCERY CHECK-OUT COUNTER           
0033-0004302600021  ,DELL E2020H 19.45"" WIDESCREEN FLAT PANEL MONITOR            ,4238.88000,09/24/2024,MONITOR                                           ,COLONNADE MOHON               ,TALISAY MOHON-HUMAN RESOURCE DEPARTMENT           
0033-0004302600022  ,DELL E2020H 19.45"" WIDESCREEN FLAT PANEL MONITOR            ,4238.88000,09/24/2024,MONITOR                                           ,COLONNADE MOHON               ,TALISAY MOHON-HUMAN RESOURCE DEPARTMENT           
0033-0004302600023  ,DELL E2020H 19.45"" WIDESCREEN FLAT PANEL MONITOR            ,4238.88000,09/24/2024,MONITOR                                           ,COLONNADE MOHON               ,TALISAY MOHON-WAREHOUSE                           
0033-0004302600024  ,DELL E2020H 19.45"" WIDESCREEN FLAT PANEL MONITOR            ,4238.88000,09/24/2024,MONITOR                                           ,COLONNADE MOHON               ,TALISAY MOHON-ADMIN                               
0033-0004302600025  ,DELL E2020H 19.45"" WIDESCREEN FLAT PANEL MONITOR            ,4238.88000,09/24/2024,MONITOR                                           ,COLONNADE MOHON               ,TALISAY MOHON-ADMIN                               
0033-0010393400001  ,DELL OPTIPLEX 7010 SFF                                      ,38618.2600,09/24/2024,CPU                                               ,COLONNADE MOHON               ,TALISAY MOHON-ACCOUTING DEPARTMENT                
0033-0010393400002  ,DELL OPTIPLEX 7010 SFF                                      ,38618.2600,09/24/2024,CPU                                               ,COLONNADE MOHON               ,TALISAY MOHON-FIXED ASSET DEPARTMENT              
0033-0010393400003  ,DELL OPTIPLEX 7010 SFF                                      ,38618.2600,09/24/2024,CPU                                               ,COLONNADE MOHON               ,TALISAY MOHON-ENGINEERING DEPARTMENT              
0033-0010393400004  ,DELL OPTIPLEX 7010 SFF                                      ,38618.2600,09/24/2024,CPU                                               ,COLONNADE MOHON               ,TALISAY MOHON-GROCERY SELLING AREA                
0033-0010393400005  ,DELL OPTIPLEX 7010 SFF                                      ,38618.2600,09/24/2024,CPU                                               ,COLONNADE MOHON               ,TALISAY MOHON-GROCERY SELLING AREA                
0033-0010393400006  ,DELL OPTIPLEX 7010 SFF                                      ,38618.2600,09/24/2024,CPU                                               ,COLONNADE MOHON               ,TALISAY MOHON-PURCHASING DEPARTMENT               
0033-0010393400007  ,DELL OPTIPLEX 7010 SFF                                      ,38618.2600,09/24/2024,CPU                                               ,COLONNADE MOHON               ,TALISAY MOHON-PURCHASING DEPARTMENT               
