barcode,desc,acost,adate,cat_type,locname,dept
0079-0009650700001  ,DOUBLE DECKER HOG VAN BODY CS#:H0G496                       ,10714,08/08/2025,VEHICLE                                           ,MFI-PIGGERY                   ,PIGGERY-LOGISTICS                                 
0079-0012331300001  ,FUJIDENZO CFRZR FC 18ADF2 18CF                              ,26250,08/27/2025,FREEZER/CHILLER                                   ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007228600001  ,ASAHI CAST IRON STOVE(#C40)                                 ,2915.,09/30/2025,STOVE                                             ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0007228600002  ,ASAHI CAST IRON STOVE(#C40)                                 ,2915.,09/30/2025,STOVE                                             ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0009840200001  ,SINOTRUK NX WATER SPRINKLER TRUCK PL#:MIJ-173               ,29000,06/10/2025,VEHICLE                                           ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0011081200001  ,CARRIER A/C WCARZ006EC/EC1                                  ,11606,10/10/2025,AIRCON                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0011081200002  ,CARRIER A/C WCARZ006EC/EC1                                  ,11606,10/10/2025,AIRCON                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
0079-0011081200003  ,CARRIER A/C WCARZ006EC/EC1                                  ,11606,10/10/2025,AIRCON                                            ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA-MAIN ADMIN                         
FAD-0110-00109700000,NEMA-1 PANELBOARD MCCB RATED AT 125AT 3P 25KA               ,20758,02/20/2025,PANEL BOARD                                       ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA                                    
FAD-0110-00109701000,1-MCCB RATED AT 320AT 3P 36KA @ 400V SCHNEIDER              ,12646,02/20/2025,CIRCUIT BREAKER                                   ,MFI-PIGGERY UNTAGA            ,PIGGERY UNTAGA                                    
