barcode,desc,acost,adate,cat_type,locname,dept
0117-0001696000001  ,NUTEX DIGITAL WEIGHING SCALE MODEL: SW-II SERIES            ,14000,05/09/2025,WEIGHING SCALE                                    ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0007721400003  ,SALTER DIAL HANGING SCALE                                   ,8500 ,05/09/2025,WEIGHING SCALE                                    ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0007721400004  ,SALTER DIAL HANGING SCALE                                   ,8500 ,05/09/2025,WEIGHING SCALE                                    ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0007721400005  ,SALTER DIAL HANGING SCALE                                   ,8500 ,05/09/2025,WEIGHING SCALE                                    ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0007721400006  ,SALTER DIAL HANGING SCALE                                   ,8500 ,05/09/2025,WEIGHING SCALE                                    ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0007636000001  ,MOTOPLUS HANDHELD RADIO                                     ,2400 ,05/09/2025,RADIO HANDSET                                     ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0007636000002  ,MOTOPLUS HANDHELD RADIO                                     ,2400 ,05/09/2025,RADIO HANDSET                                     ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0007636000003  ,MOTOPLUS HANDHELD RADIO                                     ,2400 ,05/09/2025,RADIO HANDSET                                     ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0007636000004  ,MOTOPLUS HANDHELD RADIO                                     ,2400 ,05/09/2025,RADIO HANDSET                                     ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0011595500001  ,BAJAJ MAXIMA CARGO                                          ,18111,06/03/2025,MOTORCYCLE-SURPLUS                                ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0116-0009264100001  ,DOSATRON CHLORINATOR D20S/ D20AL2VF                         ,14732,04/30/2025,TOOLS                                             ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0116-0009264100002  ,DOSATRON CHLORINATOR D20S/ D20AL2VF                         ,14732,04/30/2025,TOOLS                                             ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0116-0009264100003  ,DOSATRON CHLORINATOR D20S/ D20AL2VF                         ,14732,04/30/2025,TOOLS                                             ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0116-0009264100005  ,DOSATRON CHLORINATOR D20S/ D20AL2VF                         ,14732,04/30/2025,TOOLS                                             ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0116-0009264100006  ,DOSATRON CHLORINATOR D20S/ D20AL2VF                         ,14732,04/30/2025,TOOLS                                             ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0116-0010194200002  ,DJ 230V 500 GPM 110PSI ( ALARM CHECK VALVE                  ,70440,01/21/2025,MACH. & EQUIPMENT                                 ,MFI-PIGGERY                   ,PIGGERY-MAIN ADMIN                                
0117-0011701700001  ,SY BUNK BED                                                 ,17594,06/26/2025,BED                                               ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0011570000001  ,DOUBLE DECK SINGLE WOOD FRAME                               ,12129,07/02/2025,BED                                               ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0011570600001  ,MEGA SUPER QUILTED 4X36X75                                  ,2443.,07/02/2025,OTHERS                                            ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0011570600002  ,MEGA SUPER QUILTED 4X36X75                                  ,2443.,07/02/2025,OTHERS                                            ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0011725200001  ,DEEP FREEZE COOLER BOX 20LTR HG-C020                        ,2285.,07/18/2025,BOX                                               ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0011830000001  ,DEEP FREEZE COOLER BOX 40LTR HG-C040                        ,4142.,07/18/2025,BOX                                               ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0011595500002  ,BAJAJ MAXIMA CARGO                                          ,18111,07/24/2025,MOTORCYCLE-SURPLUS                                ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0009819300001  ,SUNNIK SECTIONAL WATER TANKS                                ,13893,08/01/2025,TANK                                              ,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              
0117-0011715600001  ,PPR FUSION WELDING MACHINE                                  ,2678.,07/25/2025,MACHINE TOOLS                                     ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0012379200001  ,RG-EW1300G                                                  ,1580.,09/09/2025,ROUTER                                            ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0012787600001  ,ACE LED20 K202QBI 19.5"" LED MONITOR (VGA HDMI)              ,3258.,11/24/2025,MONITOR                                           ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0013004900001  ,FUNJIDENZO WASHING MACHINE SPIN DRYER 8KLG                  ,7141.,12/29/2025,WASHING MACHINE                                   ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0012488400001  ,REFRIGERATOR (FUJIDENZO)                                    ,6873.,01/22/2026,REFRIGERATOR                                      ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0012429500001  ,HP NBK 15 FC0486AU R5                                       ,28117,01/22/2026,LAPTOP                                            ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
0117-0012609100001  ,GALAXY A56 5G                                               ,22741,02/09/2026,CELLPHONE                                         ,MFI-BREEDER RIZAL BILAR       ,BRB-RIZAL ADMIN                                   
