barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
0078-0009044400001  ,CPU SET INTEL CORE I3-12100 L1700                           ,     16500.00,11/13/2023,OFF. EQPT.          ,CPU                                               ,         3,CRUST & PEPPER FOODLANE INC.  ,ICM-RED RIBBON LGF                                ,FAACQ               
0110-0009151800001  ,BRADFORD WHITE ELECTRIC STORAGE WATER HEATER                ,     49500.00,10/10/2023,ELEC. INTS. & EQPT. ,STORAGE                                           ,         3,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FA_TRAN             
0110-0009059000001  ,(KEB-1) NIAGARA/NYB SISW CENTRIFUGAL FAN WITH               ,     82767.86,10/05/2023,OTHER EQPT.         ,OTHERS                                            ,         3,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FA_TRAN             
0110-0009059100001  ,(FAB-1) NIAGARA/NYB CENTRIFUGAL FAN WITH BACKWARD           ,     86785.71,10/05/2023,OTHER EQPT.         ,OTHERS                                            ,         3,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FA_TRAN             
0110-0009059400001  ,(CEF-1) NIAGARA CEILING CASSETTE FAN                        ,      2571.43,10/05/2023,STR. EQPT.          ,FAN                                               ,         3,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FA_TRAN             
0110-0009059400002  ,(CEF-1) NIAGARA CEILING CASSETTE FAN                        ,      2571.43,10/05/2023,STR. EQPT.          ,FAN                                               ,         3,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FA_TRAN             
0110-0009059500001  ,(CEF-2) NIAGARA CEILING CASSETTE FAN                        ,      6589.29,10/05/2023,STR. EQPT.          ,FAN                                               ,         3,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FA_TRAN             
0110-0009059500002  ,(CEF-2) NIAGARA CEILING CASSETTE FAN                        ,      6589.29,10/05/2023,STR. EQPT.          ,FAN                                               ,         3,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FA_TRAN             
0110-0009059500003  ,(CEF-2) NIAGARA CEILING CASSETTE FAN                        ,      6589.29,10/05/2023,STR. EQPT.          ,FAN                                               ,         3,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FA_TRAN             
0110-0009059500004  ,(CEF-2) NIAGARA CEILING CASSETTE FAN                        ,      6589.29,10/05/2023,STR. EQPT.          ,FAN                                               ,         3,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FA_TRAN             
0110-0009059500005  ,(CEF-2) NIAGARA CEILING CASSETTE FAN                        ,      6589.29,10/05/2023,STR. EQPT.          ,FAN                                               ,         3,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FA_TRAN             
0110-0009059500006  ,(CEF-2) NIAGARA CEILING CASSETTE FAN                        ,      6589.29,10/05/2023,STR. EQPT.          ,FAN                                               ,         3,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FA_TRAN             
0110-0009055100001  ,STAR DELTA CONTROLLER 7.5HP. 230V/3PHASE/60HZ               ,     15002.32,09/13/2023,OTHER EQPT.         ,CONTROLLER                                        ,         4,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FA_TRAN             
0110-0009055200001  ,DIRECT ON-LINE CONTROLLER 5HP 230V/3PHASE/60HZ              ,      7878.84,09/13/2023,OTHER EQPT.         ,CONTROLLER                                        ,         3,ROSE EN HONEY FOODLINE INC.   ,ICM-JOLLIBEE                                      ,FA_TRAN             
0076-0004301800001  ,GAS LEAK DETECTOR SYSTEM @ JOLLIBEE                         ,      5879.17,12/07/2023,STR. EQPT.          ,DETECTOR                                          ,         3,ROSE EN HONEY FOODLINE INC.   ,PM-JOLLIBEE                                       ,FAACQ               
0077-0007477900001  ,TAB SAMSUNG GALAXY A7 LITE (SM-T225)                        ,      8473.21,12/14/2023,OFF. EQPT.          ,TABLET                                            ,         2,CHARCOAL & CHOP FOODLINE INC. ,ICM-MANG INASAL                                   ,FAACQ               
0077-0009401400001  ,CUTLERY WARMER E2368                                        ,      7500.00,12/14/2023,STR. EQPT.          ,WARMER                                            ,         5,CHARCOAL & CHOP FOODLINE INC. ,ICM-MANG INASAL                                   ,FAACQ               
