barcode,desc,acost,adate,ast_type,cat_type,est_life,locname,dept,status
0012-0006801400001  ,TESTO 106 FOOD CORE THERMOMETER                             ,      4642.86,05/20/2026,STR. EQPT.          ,THERMOMETER                                       ,         3,PEANUT KISSES                 ,PK-ADMIN                                          ,FAACQ               
0022-0011217000001  ,PROPELLER FAN FOR FRESH AIR & EXHAUST FAN                   ,      4107.15,06/16/2025,STR. EQPT.          ,FAN                                               ,         3,PEANUT KISSES                 ,PK-PRODUCTION                                     ,FA_TRAN             
0003204000005       ,AIRCON (CARRIER)                                            ,         1.00,08/01/2014,OFF. EQPT.          ,AIRCON                                            ,         5,CENTRAL CONSTRUCTION GROUP    ,CCG-CDC CONSTRUCTION                              ,FA_TRAN             
0044-0007455200012  ,HIK VISION CAMERA 2MP BULLET TYPE IP67                      ,      2197.45,04/07/2022,BLDG. IMPVT.        ,CCTV                                              ,         3,DRESSING PLANT                ,DRESSING PLANT-ADMIN                              ,FA_TRAN             
0044-0010618700011  ,CHAIR MANAGER (WITH ARM) ALL BLACK CONVENTIONAL             ,      1818.84,07/11/2025,OFF. EQPT.          ,CHAIR                                             ,         5,PEANUT KISSES                 ,PK-ADMIN                                          ,FA_TRAN             
0001104600010       ,STAINLESS RACK 35X99X129                                    ,     16702.32,03/31/2014,OTHERS              ,RACK                                              ,        10,PEANUT KISSES                 ,PK-ADMIN                                          ,FA_TRAN             
0001104600011       ,STAINLESS RACK 35X99X129                                    ,     16702.32,03/31/2014,OTHERS              ,RACK                                              ,        10,PEANUT KISSES                 ,PK-ADMIN                                          ,FA_TRAN             
0114-0012494700009  ,Y-640 WITH LID                                              ,     14545.00,12/04/2025,STR. EQPT.          ,OTHERS                                            ,         3,DRESSING PLANT                ,DRESSING PLANT-ADMIN                              ,FA_TRAN             
0114-0012494700010  ,Y-640 WITH LID                                              ,     14545.00,12/04/2025,STR. EQPT.          ,OTHERS                                            ,         3,DRESSING PLANT                ,DRESSING PLANT-ADMIN                              ,FA_TRAN             
0114-0012494800008  ,AF-340L WITH LID                                            ,     11926.90,12/04/2025,STR. EQPT.          ,OTHERS                                            ,         3,NOODLES FACTORY               ,NF-PRODUCTION                                     ,FA_TRAN             
0114-0012494800009  ,AF-340L WITH LID                                            ,     11926.90,12/04/2025,STR. EQPT.          ,OTHERS                                            ,         3,DRESSING PLANT                ,DRESSING PLANT-ADMIN                              ,FA_TRAN             
0114-0012494800010  ,AF-340L WITH LID                                            ,     11926.90,12/04/2025,STR. EQPT.          ,OTHERS                                            ,         3,DRESSING PLANT                ,DRESSING PLANT-ADMIN                              ,FA_TRAN             
0044-0010619200086  ,CHAIR STAFF BLACK ALL BLACK NO ARMRESTS                     ,      1818.84,07/11/2025,OFF. EQPT.          ,CHAIR                                             ,         5,PEANUT KISSES                 ,PK-ADMIN                                          ,FA_TRAN             
0044-0010619200087  ,CHAIR STAFF BLACK ALL BLACK NO ARMRESTS                     ,      1818.84,07/11/2025,OFF. EQPT.          ,CHAIR                                             ,         5,PEANUT KISSES                 ,PK-ADMIN                                          ,FA_TRAN             
0044-0010619200097  ,CHAIR STAFF BLACK ALL BLACK NO ARMRESTS                     ,      1818.84,07/11/2025,OFF. EQPT.          ,CHAIR                                             ,         5,PEANUT KISSES                 ,PK-ADMIN                                          ,FA_TRAN             
0044-0010619200100  ,CHAIR STAFF BLACK ALL BLACK NO ARMRESTS                     ,      1818.84,07/11/2025,OFF. EQPT.          ,CHAIR                                             ,         5,PEANUT KISSES                 ,PK-ADMIN                                          ,FA_TRAN             
0044-0010619200102  ,CHAIR STAFF BLACK ALL BLACK NO ARMRESTS                     ,      1818.84,07/11/2025,OFF. EQPT.          ,CHAIR                                             ,         5,PEANUT KISSES                 ,PK-ADMIN                                          ,FA_TRAN             
0044-0010619200103  ,CHAIR STAFF BLACK ALL BLACK NO ARMRESTS                     ,      1818.84,07/11/2025,OFF. EQPT.          ,CHAIR                                             ,         5,PEANUT KISSES                 ,PK-ADMIN                                          ,FA_TRAN             
0044-0010619200105  ,CHAIR STAFF BLACK ALL BLACK NO ARMRESTS                     ,      1818.84,07/11/2025,OFF. EQPT.          ,CHAIR                                             ,         5,PEANUT KISSES                 ,PK-ADMIN                                          ,FA_TRAN             
