barcode,desc,acost,adate,cat_type,locname,dept,status
0112-0008674500001  ,ASUKI FW+ 15K WATERPROOF WEIGHING SCALE 15KGX2G             ,     12150.00,05/30/2023,WEIGHING SCALE                                    ,MARCELA ICE PLANT             ,MIP-ADMIN                                         ,FAACQ               
0112-0008678500001  ,ASUKI KW-02S DIGITAL PLATFORM SCALE 150KG X 20G             ,     31500.00,05/30/2023,WEIGHING SCALE                                    ,MARCELA ICE PLANT             ,MIP-ADMIN                                         ,FAACQ               
0112-0000416100001  ,DIGITAL WEIGHING SCALE ASUKI                                ,     12300.00,01/28/2013,                                                  ,                              ,                                                  ,                    
0112-0001241000001  ,WEIGHING SCALE 60 KLS                                       ,      1898.00,04/20/2020,                                                  ,                              ,                                                  ,                    
0112-0001713600001  ,MOP SQUEEZER SET (YELLOW)                                   ,      1995.00,07/24/2017,                                                  ,                              ,                                                  ,                    
0112-0001788700001  ,FUJI DIAL SCALE 60KG                                        ,      1802.00,09/03/2015,                                                  ,                              ,                                                  ,                    
0112-0002889400001  ,FUJI WEIGHING SCALE 60KGS                                   ,      2901.00,07/31/2019,                                                  ,                              ,                                                  ,                    
0112-0004239100001  ,TEST WEIGHT CHROME PLATED                                   ,      2600.00,04/15/2016,                                                  ,                              ,                                                  ,                    
0112-0004324800001  ,NANO STATION M5                                             ,      5832.00,11/27/2013,                                                  ,                              ,                                                  ,                    
0112-0004324800002  ,NANO STATION M5                                             ,      5832.00,11/27/2013,                                                  ,                              ,                                                  ,                    
